ရဲသာရွာသစ်၊ သားရိုး|yethar ywarthit, tharyoe
နန်းဖော့ကော်လီ|nan photkawli
သစ်ဆိမ့်ပင်၊ ဇီးဖြူပင်အုပ်|thitseintpin, zeephyupin oke
စု၊ ပျဉ်းမနားမြို့|su, pyinmanar city
၅၈၁၊ သုမင်္ဂလာလမ်း|581, thumingalar street
၅ ရပ်ကွက်၊ တ/ဥက္ကလာပ|5 ward, ta/okkalarpa
ပလူကျေးရွာ|palu village
ခရမ်းမြို့နယ်|khayan township
သာစည်ရွာ၊ အုပ်စု|tharsi village, group
မြို့သစ်မြို့နယ်|myoethit township
ရေတွင်းကုန်းကျေးရွာ|yetwinkone village
ငပုတောမြို့နယ်|ngaputaw township
ကြွက်နွယ်ချောင်း၊ ကြွက်|Kywat Nwe Chaung, Kywat 
နွယ်ချောင်း၊မြောင်းမြ|Nwe Chaung, Myaung Mya
ရမည်းသင်းမြို့|Ya Mel Thin City
မှန်စီရွာ|Mhan Si Village 
နန်းမြင့်ကျေးရွာ|Nan Myint Village 
တောင်သာမြို့နယ်|Taung Thar Township 
ပေါက်ဘန်းရွာ၊ ထိန်|paukban village, htein
သေးအုပ်စု၊ နတ်တလင်းမြို့|thay group, nattalin city
ရွာကြီးရွာ|ywargyi village
သာစည်မြို့နယ်|tharsi township
ရွှေဟင်္သာရပ်ကွက်|shwehinthar ward
ကော့သောင်းမြို့|kawthoung city
သက္ကောကျေးရွာ၊ ရပ်ကွက် ၆|thetkaw village, ward 6
ချောင်းဆုံမြို့နယ်|chaungsone township
အင်ပင်ကြီးရွာ|inpingyi village
မြိုင်မြို့နယ်|myaing township
မိုးကောင်းရွာ|MoeKaung Village
ဝမ်းတွင်းမြို့နယ်|WanTwin Township
လင်းလွန်းပင်၊လင်းလွန်းပင်|LinLoonPin, LinLoonPin
အုပ်စု၊ ဓနုဖြူမြို့နယ်|Group, Danuphyu Township
ကန်ပြား (နောက်) ရွာ |Kan Pyar (West) Village
မကွေးမြို့နယ် |Ma Gway Township 
ဘုမ္မရိုး|Bone Ma Yoe
လမိုင်းရွာ၊ အုပ်စု|La Mine Village/Group
ရွှေတောင်မြို့|Shwe Taung City
ဘုရားကလေးရွာ|Phayar Kalay Village
ပဲခူးမြို့|Bago City
ကြွယ်ကန်ကျေးရွာ |Kywal Kan Village 
ဝမ်းတွင်းမြို့နယ်|Wan Twin Township 
နှဲကြိုးကျေးရွာ၊ ဓနုဖြူမြို့|HnalKyoe Village, DanuPhyu Myoe
နယ်|Nal
ရွာဦးလိပ်အင်းရပ်|YwarOoLateInn Yat
သထုံမြို့|ThaHtone City
ကက ၉၊ မင်းရွာ|KaKa 9, Min Village
သနပ်ပင်မြို့နယ်|ThaNatPin Township
မကျီးကန်ရွာ၊သာစည်|MaKyeeKan Village, TharSe
မြို့|City
တောင်ဇင်း၊ မိုးညိုမြို့|TaungZinn, MoeNyo City
သာစည်မြို့။|Thar si city.
အမှတ်(၄)၊|NO(4),
ကျောက်တန်း|kyouk tan
ကျုံကန်ကျေးရွာ|kyone kan village
အလန်းဖလွတ်ကျေးရွာ|AlanPhaLout Village
ဖျာပုံမြို့နယ်|Phyarpone Township
အမှတ် (၇၀၂ ) |No(702 )
ခြေမြန်တပ်ရင်/မှော်ဘီ|Chay Myan Tat Yin/Maw Be
ပီပင်ကုန်းကျေးရွာ|Pe Pin Kone Village
မြောက်ဦးမြို့နယ်|Myauk Oo Township
ထီစခေါင်းကျေးရွာ|Htee Sa Khaung Village
မြက်သာဥတို အုပ်စု|Myat Thar U To Group
ရိုးကြီး|Yoo Gyi
ညောင်တုန်း|Nyaung Tone
အင်းကူးကျေးရွာ|Inn Kuu Village 
အင်းလျာကုန်းအုပ်စု၊ရေကြည်မြို့|Inn Hlyar Kone Group, Yay Kyi Myoe 
နယ် |Nae 
တ/ဇချမ်းကုန်းရွာ|Ta/Za Chan Kone Village 
ရွာတန်းအုပ်စု၊ ဝမ်းတွင်းမြို့|Ywar Tan Group, Wan Twin City 
ဆားကျင်းကျေးရွာ |Sar Kyin Village 
ဆားကျင်းအုပ်စု၊ လပ္ပတ္တာမြို့နယ်|Sar Kyin Group, Latt Put Tar Township
မဒေါက်မြို့မ(၁)|Ma Duak Myoe Ma (1) 
ညောင်လေးပင်မြို့နယ် |Nyaung Lay Pin Township
(၅) ခရိုက်ဒူးရွာ|(5) Ka Yite Duu Village 
ချောင်းဆုံမြို့နယ် |Chaung Sone Township
အောင်သာယာအုပ်စု|Aung Thar Yar Group
ကျောက်စောင်းရွာ ၊ နတ်တလင်းမြို့|Kyauk Saung Village , Nat Talin City 
ဖအိုင်းအရှေ့ရွာ |Pha Eaing A Shae Village 
စေတုတ္တရာမြို့နယ် |Say Toketayar Township
မရမ်းအနောက်ကျေးရွာ |Ma Yan A Nout Village 
ဒေးဒရဲမြို့နယ်|Day Daye' Township
ကျောက်ရှပ်ကျေးရွာ၊|Kyauk Shat Village 
ကလိန်အောင်းမြို့|Kalain Oaung City 
အင်းပေါင်ရွာ|innpaung village
ရမည်းသင်း|yemethin 
လှည်းကြီးရွာ၊ လယ်ကိုင်းအုပ်စု|hlegyi village, lelkaing group
ပွင့်ဖြူမြို့နယ်|pwintphyu township
မဒေါက် ၂-ရက်ကွက်|madauk 2- ward
ညောင်လေးပင်မြို့နယ်|nyaunglaypin township
ရပ်ကွက် (၅) နမ့်စန်မြို့|ward (5) namsang city
ကြံခင်းစုကျေးရွာအုပ်စု|kyankhinsu village group
ကျုံခရမ်း၊ ကျိုက်လတ်မြို့|kyonkhayan, kyikelat city
ပေကံကုန်းရွာ|paykankone village
မြို့သစ်မြို့|myoethit city
ကုလားထိပ်|kalarhtate
ဒေးဒလူ၊ အမာမြို့|dedalu, amar city
ရဟတ်တောင်ရွာ|yahattaung village
ပုဏ္ဏားကျွန်းမြို့နယ်|ponnagyun township
စကခ ၃|SaKaKha 3
ဇေယျာသီရိမြို့နယ်|zayyarthiri township
မြေခြားရွာ|myaychar village
ရွာငံမြို့နယ်|ywarngan township
လက်ဆောင်ယူရွာ|Lat Saung you Village 
တံတားဦးမြို့နယ်|Ta tar Oo Township 
ဇဂျမ်းကျေးရွာ|Za Jan Village 
တောင်သာမြို့နယ်|Taung Thar Township 
ဖဲကတာကျေးရွာ|Phal Ka Tar Village 
ဘားအံမြို့နယ်|Hpa An Township 
ကန်သာ၊ ကွန်ချိုင်း|Kan Thar, Kon Chi
လယ်ဝေးမြို့နယ်|Lal Way Township 
ကုန်းစုရွာ၊ ဓနုံးဆိပ်အုပ်စု|Kone Su Village, Da None Seik Group 
မော်လမြိုင်ကျွန်း|Mawlamyaing Kyun
အလည်ချောင်းရွာ|A Lal Chaung Village 
ရပ်စောက်မြို့|Yat Saut City 
တုတ်ပင်လယ်ရွာ|Doke Pin Lal Village 
မင်းပြားမြို့နယ်|Min Pyar Township 
မှုံကထုံးကျေးရွာ|Hmone Ka Htone Village
ဝေါမြို့နယ်|Wall Township
အသရော်ကျေးရွာ|A Tha Yaw Village
သာယာဝတီမြို့နယ်|Tharyar Wati Township
ညောင်ဝန်းရွာ|Nyaun Won Village
တံတားဦးမြို့|Tadar Oo City
ကပိုင်(တ)ရွာ၊အုတ်|Ka Pai (Ta) Village, Oak
ရှစ်ကုန်းအုပ်စု၊အင်္ဂပူမြို့နယ်|Shit Kone Group, Ingapu Township
နွားကုန်းကျေးရွာ|Nwar Kone Village
အိမ်မဲမြို့|Eain Mae City
အမှတ်.၃၉၃.(၄)ရပ်ကွက်|No.393.(4)Ward
ပုလဲ(၁)လမ်း၊မြောက်ဥက္ကလာ|Parel(1)Steet, North Okkala
ပမြို့နယ်|pa Township
သာစည်ကျေးရွာ|Thar Si Vi
ရသေ့တောင်မြို့နယ်|Ya Thayt Taung Township
အဂ္ဂရာပြည့်အုပ်စု၊ကုန်း|A Gayar Pyae Group, Kone
ဇင်းရွာ၊ပေါင်းတည်မြို့|Zin Village, Paung Tal City
ညောင်လှရွာ၊ကျီးသဲအုပ်စု|Nyaung Hla Village, Kyee Thal Group
ရွှေတောင်မြို့နယ်|Shwe Taung Township
ကံလှရွာ၊သပြေကုန်း|Kan Hla Village, Thapyay Kone 
အုပ်စု၊ပင်လောင်းမြို့နယ်|Group, Pin Loung Township
စာဖြူစု.ပေချောင်းအုပ်စု|Sar Phyu Su, Pay Chaung Group
ကျိုက်လတ်မြို့နယ်|Kyaik Lat Township
ကံဦးကျေးရွာ|Kan Oo Village
ပေတောအုပ်စု၊ မြင်းခြံမြို့ မြင်းခြုံမြို့|Pay Taw Group, Myin Chan City
မိုစာရွာ၊ မနိကန်း|Mo Sar Village, Ma Ni Kan
အုပ်စု၊ လွိုင်ကော်မြို့|Group, Lowi Kaw City
လားရှိုးမြို့|Lashio City
ရပ်ကွက် (၁)|Ward (1)
ပွဲသာကျေးရွာ|Pawe Thar Village
ထန်းတပင်မြို့နယ်|Htan Tapin Township
ခနီးရွာ|Kha Nii Village
ကဝမြို့နယ်|Kawa Townhip
မြို့မ ၄ ရပ်ကွက်|Myot Ma 4 Ward
ပြွန်တန်ဆာမြို့|Pyun Tan Sar City
ပျဉ်ကတိုးတောင်ရွာ၊ ထုံးဘို|pyinkatoetaung village, htonebo
မိချောင်းအိုင်၊ မြောင်းမြမြို့|michaungaine, myaungmya city
တက်ကြီးရွာ|tatgyi village
ရပ်စောက်မြို့|lawkswak city
ဂွေးကုန်းရွာ၊ ရှမ္မမြောင်|gwaykone village, shanmamyaung
အုပ်စု၊ သာပေါင်းမြို့|group, tharpaung city
စာချွန်ခံရပ်ကွက်|Sar Chon Khan Ward
အိမ်မဲမြို့|Eain Mal City 
ပညာရေး-၂|Education -2
မိတ္ထီလာ|Meiktila 
ဘုရားလှရွာ၊အုပ်စု|Pha Yar Hla Village, Group 
ဟိုင်းကြီးကျွန်းမြို့နယ်|Hi Gyi Kyun Township 
မြေနီကုန်းရပ်|Myay Ni Kone Ward
ဟုမ္မလင်းမြို့|HomaLin City 
သူနတ်စစ်ရွာ|Thu Nat Sit Village
ငါန်းဇွန်းမြို့နယ်|Ngan Zun Township
ခမရ (၃၃၂)၊ ရွာသစ်|Kha Ma Ya (332),Ywar Thit 
ရပ်ကွက်၊ မိုင်းပန်| Ward, Mine Pan
စကမြားရွာ၊ စကမြားအုပ်|Sa Ka Myar Village, Sa Ka Myar Oat
စု၊ မြောင်းမြမြို့နယ်|Su Myaung Mya Township 
ကိုးအင်းရွာ၊ကိုးအင်း|Koe Inn Village, Koe Inn
အုပ်စု၊ကြံခင်းမြို့နယ်|Group, Kyan Khin Township
ကန်ရေကြီး(တ)သံဘိုရပ်စု|Kan Yae Gyi(Ta) Than bo Group
ချောက်မြို့နယ်|Chauk Township
၇၃၊အောင်သုခလမ်း၊|73, Aung Thukha Street,
၆ ရပ်ကွက်၊မရမ်းကုန်းမြို့နယ်|6 Ward, Mayan Kone Township
ညောင်ကုန်းကျေးရွာ|Nyaung Kone Village
ကော့မှူးမြို့နယ်|Kot Hmue Township
ဥယျာဉ်စု၊ရပ်ကွက်(၁)|Ou Yin Su, Ward(1)
ကန်ကြီးထောင့်မြို့နယ်။|Kan Gyi Daunt township
သဲအိမ်ရွာ၊ပေါင်မြို့|Thal Eain Village, Paung City
ခတ္ထိယရွာ၊ကျွန်းဦး|Khat Hti Ya Village, Kyun Oo
ညောင်တုန်းမြို့|Nyaung Tone Township
အမှတ်(၁)ရပ်ကွက်|No(1)Ward
သာစည်မြို့|Thar Si City
ညောင်နီကျေးရွာ၊သုံးခွမြို့|Nyaung Nee Village, Thone Khwa City
ကျည်တိုင်ကွင်းရွာ၊|Kyi Taing Kwin Village
ရေနံတောင်အုပ်စု၊ကြံခင်းမြို့နယ်|Yae Nan Taung Group, Kyan Khin Township
တော်ဝိရွာ|Taw Wi Village
ညောင်လေးပင်မြို့|Nyaung Lay Pin City
ကျွန်းတောကုန်းရွာ၊|Kyun Taw Kone Village
ပီတူးအုပ်စု၊ရေတာရှည်မြို့|Pi Tuu Group, Yae Tar Shae City
အုတ်ဖိုရွာ၊ပွင့်ဖြူမြို့နယ်|Oak Pho Village, Pwint Phyu Township
ညောင်ကုန်း(န)|Nyaung Kone (Na)
တောင်တွင်းကြီးမြို့|Taung Twin Gyi City
ပြင်လျားရှည်ရွာ|Pyin Lar Shae Village
ပုဏ္ဏားကျွန်းမြို့နယ်|Pone Nar Kyun Township
၇၀၈ တဂ(၂၀)လမ်း|708 TaGa(20) Street
၄ ရပ်ကွက်၊ တောင်ဥက္ကလာပ|4 Ward, South Okkalapa
ဟံဇားကျေးရွာ|Han Zar Village
သာစည်မြို့နယ်|Thar Si Township
ဂန့်ဂါရပ်|Gant Gar Yat
ညောင်ဦးမြို့နယ်|Nyaung Oo Township
ပန်းရွာ/အုပ်စု|Pan Village/ Group
မြိုင်မြို့နယ်|Myaing Township
ကူမဲ၊ အမှတ်-၂|Ku Mae , No-2
မြစ်သားမြို့နယ်|Myit Thar Township
တော်ပုလဲရပ်ကွက် |Taw Palae Ward 
ကွမ်းခြံကုန်းမြို့|Kwan Chan Kone City 
ညောင်တိုကျေးရွာ |Nyaung To Village 
တောင်သာမြို့နယ်|Taung Thar Township
ကြာနီကန်, ၊ ကြာနီ|Kyar Ni Kan , Kyar Ni 
ကန်၊ ရွှေတောင်|Kan , Shwe Taung 
တည်ပင်ရွာ|Tae Pin Village 
ရွှေဘိုမြို့နယ် |Shwe Bo Township
ဆားပြင်ကျေးရွာ|Sar Pyin Village 
ပေါက်တောမြို့နယ်|Pouk Taw Township
နန်းဟူတွေရွာ|Nan Hu Tway Village 
ဒီးမောဆိုမြို့နယ် |D Maw So Township
ရွာသစ်ရွာ|Ywar Thit Village 
